Fname,Mname,Lname,Mobile,Email,Username,Password,Did,DName
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,2,IT
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,2,IT
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,2,IT
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
test,testm,testl,123456789,test@gmail.com,testUser,12345,2,"IT, CS"
test,testm,testl,123456789,test@gmail.com,testUser,12345,1,CS
